add { Андрей Кузнецов ; 4 ; 46000 ; 7900 ; 2021-11-14 ; ; HIRED ; 538000 ; COMMERCIAL ; Победы }
add { Татьяна Попова ; 8 ; 55000 ; 6400 ; 2023-07-07 ; 2028-09-30 ; PROBATION ; 629000 ; GOVERNMENT ; Комсомольская }
add { Владимир Васильев ; 3 ; 98000 ; 4100 ; 2020-04-18 ; ; RECOMMENDED_FOR_PROMOTION ; 411000 ; TRUST ; Кирова }
add { Ольга Петрова ; 7 ; 25000 ; 8800 ; 2024-05-24 ; 2030-07-09 ; HIRED ; 759000 ; OPEN_JOINT_STOCK_COMPANY ; Садовая }
add { Иван Морозов ; 2 ; 66000 ; 4900 ; 2022-10-09 ; ; FIRED ; 523000 ; PUBLIC ; Лесная }
add { Наталья Волкова ; 5 ; 36000 ; 6600 ; 2021-12-22 ; 2027-04-15 ; HIRED ; 647000 ; COMMERCIAL ; Центральная }
add { Михаил Алексеев ; 9 ; 72000 ; 7700 ; 2023-02-04 ; ; PROBATION ; 295000 ; GOVERNMENT ; Заречная }
add { Ирина Лебедева ; 0 ; 30000 ; 5600 ; 2020-06-17 ; 2029-01-08 ; RECOMMENDED_FOR_PROMOTION ; 884000 ; TRUST ; Школьная }
add { Петр Семенов ; 6 ; 56000 ; 4300 ; 2024-01-29 ; ; HIRED ; 413000 ; OPEN_JOINT_STOCK_COMPANY ; Юбилейная }
add { Светлана Егорова ; 4 ; 80000 ; 9800 ; 2022-09-13 ; 2028-07-25 ; FIRED ; 726000 ; PUBLIC ; Строителей }
add { Павел Павлов ; 8 ; 43000 ; 3500 ; 2021-05-06 ; ; HIRED ; 562000 ; COMMERCIAL ; Солнечная }
add { Юлия Козлова ; 2 ; 77000 ; 8100 ; 2023-12-20 ; 2027-10-07 ; PROBATION ; 438000 ; GOVERNMENT ; Набережная }
add { Николай Степанов ; 5 ; 23000 ; 9300 ; 2020-03-12 ; ; RECOMMENDED_FOR_PROMOTION ; 681000 ; TRUST ; Парковая }
add { Екатерина Николаева ; 7 ; 88000 ; 5000 ; 2024-08-02 ; 2030-11-14 ; HIRED ; 375000 ; OPEN_JOINT_STOCK_COMPANY ; Дзержинского }
add { Артем Дмитриев ; 1 ; 49000 ; 7400 ; 2022-05-21 ; ; FIRED ; 836000 ; PUBLIC ; Ленина }
add { Ксения Андреева ; 6 ; 61000 ; 4600 ; 2021-07-08 ; 2028-03-17 ; HIRED ; 743000 ; COMMERCIAL ; Пушкина }
add { Максим Макаров ; 3 ; 32000 ; 8200 ; 2023-10-31 ; ; PROBATION ; 284000 ; GOVERNMENT ; Советская }
add { Виктория Сидорова ; 9 ; 85000 ; 6900 ; 2020-01-15 ; 2029-05-29 ; RECOMMENDED_FOR_PROMOTION ; 417000 ; TRUST ; Молодежная }
add { Роман Иванов ; 4 ; 70000 ; 5700 ; 2024-12-06 ; ; HIRED ; 629000 ; OPEN_JOINT_STOCK_COMPANY ; Гагарина }
add { Анастасия Смирнова ; 8 ; 37000 ; 6300 ; 2022-11-11 ; 2027-08-19 ; FIRED ; 758000 ; PUBLIC ; Октябрьская }
add { Евгений Кузнецов ; 2 ; 90000 ; 7800 ; 2021-03-28 ; ; HIRED ; 551000 ; COMMERCIAL ; Победы }
add { Людмила Попова ; 5 ; 24000 ; 8900 ; 2023-06-04 ; 2028-11-02 ; PROBATION ; 472000 ; GOVERNMENT ; Комсомольская }
add { Станислав Васильев ; 7 ; 65000 ; 3900 ; 2020-09-19 ; ; RECOMMENDED_FOR_PROMOTION ; 693000 ; TRUST ; Кирова }
add { Валентина Петрова ; 0 ; 11000 ; 6500 ; 2024-03-10 ; 2030-01-27 ; HIRED ; 326000 ; OPEN_JOINT_STOCK_COMPANY ; Садовая }
add { Алексей Морозов ; 6 ; 75000 ; 5100 ; 2022-07-25 ; ; FIRED ; 417000 ; PUBLIC ; Лесная }
